College Name,AFS Groups,Users AFS,Users Panas.,Tot.Used Space
Alliance for Catholic Education,0,19524265,0,19524265
Architecture,854991491,21,0,854991512
Arts & Letters,19218515075,19092013814,1622120272,39932649161
Business,44052137843,11374781328,1570000248,56996919419
Center for Nano Science & Tech,0,0,0,0
Center for Transgene Research,0,83758015,0,83758015
Engineering,269996806221,108122237702,152539011828,530658055751
Graduate School,0,0,0,0
Kaneb Center,0,42,0,42
Law School,0,108115957,0,108115957
Office of Information Technologies,0,3658579,0,3658579
Office of Research,6157605817,7217825554,52443976272,65819407643
Pre-College,0,0,0,0
Science,321803869325,56146976258,37022314420,414973160003
University Libraries,191707606,1129307244,205130024,1526144874
Unknown,0,11724995,0,11724995
